Sleutel;Datum Verzoek Inschr;Ingangsdatum;Collegejaar;Datum intrekking vooraanmelding;Inschrijfstatus;Faculteit;Examentype;Croho;Croho groepeernaam;Opleiding;Hoofdopleiding;Eerstejaars croho jaar;Is eerstejaars croho opleiding;Is hogerejaars;BBC ontvangen;Type vooropleiding;Nationaliteit;EER;Geslacht;Geverifieerd adres postcode;Geverifieerd adres plaats;Geverifieerd adres land;Studieadres postcode;Studieadres land;School code eerste vooropleiding;School eerste vooropleiding;Plaats code eerste vooropleiding;Land code eerste vooropleiding;Aantal studenten
Unieke sleutel student;Datum van verzoek tot inschrijving;Ingangsdatum inschrijving;Collegejaar;Datum intrekking vooraanmelding;Status van inschrijving;Faculteit code;Type examen;CROHO nummer;CROHO groepeer naam;Naam opleiding;Naam hoofdopleiding;Eerstejaars CROHO jaar;Is eerstejaars CROHO opleiding;Is hogerejaars;BBC ontvangen;Type vooropleiding;Nationaliteit student;EER status;Geslacht;Geverifieerd adres postcode;Geverifieerd adres plaats;Geverifieerd adres land;Studieadres postcode;Studieadres land;School code eerste vooropleiding;School eerste vooropleiding;Plaats code eerste vooropleiding;Land code eerste vooropleiding;Aantal studenten
STU00043;16-07-2019;01-09-2018;2018;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2018;1;0;0;VWO;Nederlandse;J;V;6501AB;Eindhoven;NL;6525ED;NL;00GQ;Dominicus College;0268;NL;1
STU00897;12-03-2021;01-10-2020;2020;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2020;1;0;0;HAVO;Nederlandse;J;M;6525HP;Nijmegen;NL;6525HR;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU00240;10-12-2018;01-09-2018;2018;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2018;1;0;0;VWO;Nederlandse;J;V;6512BH;Arnhem;NL;6500AA;NL;00AH;Canisius College;0268;NL;1
STU01531;07-09-2023;01-09-2022;2022;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2022;1;0;0;HAVO;Duitse;J;V;6525ED;Arnhem;DE;6525HP;NL;DE01;Gymnasium Kleve;KLEV;DE;1
STU01588;07-08-2023;01-09-2022;2022;;Ingeschreven;SOW;Propedeuse Bachelor;56604;B Psychologie;Psychologie;Psychologie;2022;1;0;0;VWO;Nederlandse;J;V;6551IJ;Nijmegen;NL;6525ED;NL;00GP;Stedelijk Gymnasium Nijmegen;0268;NL;1
STU00688;29-06-2021;01-09-2020;2020;;Ingeschreven;MAN;Propedeuse Bachelor;50645;B Bedrijfskunde;Bedrijfskunde;Bedrijfskunde;2020;1;0;0;VWO;Nederlandse;J;V;6525ED;Wageningen;NL;6525HP;NL;00GQ;Dominicus College;0268;NL;1
STU01180;28-01-2022;01-09-2021;2021;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2021;1;0;0;VWO;Nederlandse;J;M;6534ST;Nijmegen;NL;6534ST;NL;00DK;Montessori College;0268;NL;1
STU00438;08-09-2020;01-09-2019;2019;;Ingeschreven;SOW;Propedeuse Bachelor;56615;B Communicatiewetenschap;Communicatiewetenschap;Communicatiewetenschap;2019;1;0;0;HBO;Nederlandse;J;V;6525HR;Arnhem;NL;6521CD;NL;00DK;Montessori College;0268;NL;1
STU01457;27-09-2022;01-09-2022;2022;;Ingeschreven;NWI;Propedeuse Bachelor;56964;B Informatica;Informatica;Informatica;2022;1;0;0;VWO;Nederlandse;J;V;6511AB;Nijmegen;NL;6521CD;NL;00BJ;Kandinsky College;0268;NL;1
