Sleutel;Datum Verzoek Inschr;Ingangsdatum;Collegejaar;Datum intrekking vooraanmelding;Inschrijfstatus;Faculteit;Examentype;Croho;Croho groepeernaam;Opleiding;Hoofdopleiding;Eerstejaars croho jaar;Is eerstejaars croho opleiding;Is hogerejaars;BBC ontvangen;Type vooropleiding;Nationaliteit;EER;Geslacht;Geverifieerd adres postcode;Geverifieerd adres plaats;Geverifieerd adres land;Studieadres postcode;Studieadres land;School code eerste vooropleiding;School eerste vooropleiding;Plaats code eerste vooropleiding;Land code eerste vooropleiding;Aantal studenten
1000;03-10-2019;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;6977AA;Nijmegen;NL;3664BB;NL;58520;Demo School;0268;6030;1
1001;02-05-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;9751AA;Nijmegen;NL;5010BB;NL;31417;Demo School;0268;6030;1
1002;02-05-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;1916AA;Nijmegen;NL;4752BB;NL;14207;Demo School;0268;6030;1
1003;24-06-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;6155AA;Nijmegen;NL;4483BB;NL;95909;Demo School;0268;6030;1
1004;21-07-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5040AA;Nijmegen;NL;9830BB;NL;44438;Demo School;0268;6030;1
1005;10-07-2020;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;4593AA;Nijmegen;NL;3266BB;NL;76784;Demo School;0268;6030;1
1006;26-01-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;3621AA;Nijmegen;NL;7916BB;NL;88172;Demo School;0268;6030;1
1007;08-11-2019;01-09-2020;2020;;Geannuleerd;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;V;1188AA;Nijmegen;NL;2876BB;NL;99353;Demo School;0268;6030;1
1008;03-05-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5808AA;Nijmegen;NL;8123BB;NL;30730;Demo School;0268;6030;1
1009;24-04-2020;01-09-2020;2020;;Ingeschreven;FSW;Propedeuse Bachelor;Psychologie;B Psychologie;B Psychologie;B Psychologie;2020;1;0;0;VWO;Nederlandse;N;M;5889AA;Nijmegen;NL;9317BB;NL;89818;Demo School;0268;6030;1
